"40 - Mayflower   "
05/09/2016 --   8:45 AM
6.7.57 
Informe PMIX - Todos Terminales
05/08/2016
Centro de Consumos Seleccionados: TODOS,


"","Articulo","","Num","Precio","","","","Comida","%",
"Rango","Num","Nombre de Articulo","Vendido","Vendido","Cantidad","Costo","Rentabilidad","Costo %","Ventas",
" "," "," "," "," "," "," "," "," "," ",
"  98","5614","Combinacion","6.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
"  99","106","May Chicken 2p","100.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
" 100","501","Chop Suey","3.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
" 101","105","May Chicken 1p","21.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
" 102","2005","Coca Cola","40.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
" 103","2001","Negro","11.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
" 104","503","Lomo Sechuan","2.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
" 105","708","Wantan Med X3","11.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
" 106","201","Chaufarin Lomo","30.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
" 107","309","Gallina Apanada","9.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
" 108","2012","Mora","9.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
" 109","306","Churasco Mayflo","13.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
" 110","301","Chaulafan","35.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
" 111","107","Combo Maylon","12.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
" 112","102","RapiSalta Lomo","11.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
" 113","202","Chaufarin Pollo","35.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
" 114","403","Camaron Vegetal","3.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
" 115","302","Tallarin Especi","31.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
" 116","101","RapiSalta Pollo","18.00","0.00 ","0.00 ","0.00 ","0.00 ","0.00","0.00 ",
" "," "," ","------------","------------","------------","------------","------------","------------","------------",
" "," ","Gran Total:","1088.00","1.58 ","1720.51 ","0.00 ","1720.51 ","0.00","100.00 ",
 ,
" "," "," "," "," "," "," "," "," "," ",
 ,
****************************  Fin de Informe  ****************************,
